重庆联通,#genre#
CQTV卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000365?AuthInfo=xxx&amp;userid=
CQTV新闻高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000367?AuthInfo=xxx&amp;userid=
CQTV娱乐高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000370?AuthInfo=xxx&amp;userid=
CQTV影视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000372?AuthInfo=xxx&amp;userid=
CQTV社会高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000375?AuthInfo=xxx&amp;userid=
CQTV时尚高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000369?AuthInfo=xxx&amp;userid=
CQTV公共农村,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000376?AuthInfo=xxx&amp;userid=
CQTV少儿高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000374?AuthInfo=xxx&amp;userid=
CQTV科教高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000373?AuthInfo=xxx&amp;userid=
CQTV移动高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000384?AuthInfo=xxx&amp;userid=
CQTV汽摩高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000371?AuthInfo=xxx&amp;userid=
CQTV社会高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000368?AuthInfo=xxx&amp;userid=
CCTV-1高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000231?AuthInfo=xxx&amp;userid=
CCTV-2高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000295?AuthInfo=xxx&amp;userid=
CCTV-3高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000302?AuthInfo=xxx&amp;userid=
CCTV-4高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000342?AuthInfo=xxx&amp;userid=
CCTV-5高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000304?AuthInfo=xxx&amp;userid=
CCTV-6高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000305?AuthInfo=xxx&amp;userid=
CCTV-7高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000290?AuthInfo=xxx&amp;userid=
CCTV-8高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000307?AuthInfo=xxx&amp;userid=
CCTV-9高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000294?AuthInfo=xxx&amp;userid=
CCTV-10高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000293?AuthInfo=xxx&amp;userid=
CCTV-11高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000389?AuthInfo=xxx&userid=
CCTV-12高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000292?AuthInfo=xxx&amp;userid=
CCTV-13高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000387?AuthInfo=xxx&userid=
CCTV-14高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000291?AuthInfo=xxx&amp;userid=
CCTV-15高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000388?AuthInfo=xxx&userid=
CCTV-16高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000381?AuthInfo=xxx&amp;userid=
CCTV-17高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000346?AuthInfo=xxx&amp;userid=
CCTV5＋高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000230?AuthInfo=xxx&amp;userid=
湖南卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000228?AuthInfo=xxx&amp;userid=
浙江卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000224?AuthInfo=xxx&amp;userid=
江苏卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000225?AuthInfo=xxx&amp;userid=
安徽卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000296?AuthInfo=xxx&amp;userid=
广东卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000221?AuthInfo=xxx&amp;userid=
北京卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000229?AuthInfo=xxx&amp;userid=
天津卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000223?AuthInfo=xxx&amp;userid=
辽宁卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000260?AuthInfo=xxx&amp;userid=
东方卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000232?AuthInfo=xxx&amp;userid=
深圳卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000226?AuthInfo=xxx&amp;userid=
河北卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000341?AuthInfo=xxx&amp;userid=
黑龙江卫高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000227?AuthInfo=xxx&amp;userid=
贵州卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000341?AuthInfo=xxx&amp;userid=
江西卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000378?AuthInfo=xxx&amp;userid=
四川卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000377?AuthInfo=xxx&amp;userid=
东南卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000379?AuthInfo=xxx&amp;userid=
贵州卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000340?AuthInfo=xxx&amp;userid=
湖北卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000222?AuthInfo=xxx&amp;userid=
山东卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000261?AuthInfo=xxx&amp;userid=
海南卫视高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000385?AuthInfo=xxx&amp;userid=
纪实人文高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000275?AuthInfo=xxx&amp;userid=
CETV1高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000363?AuthInfo=xxx&amp;userid=
快乐垂钓高清,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000382?AuthInfo=xxx&amp;userid=
IPTV相声小品,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000151?AuthInfo=xxx&amp;userid=
CQTV时尚购物,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000366?AuthInfo=xxx&amp;userid=
重庆电信1,#genre#
CCTV1,http://14.108.209.204:8806/udp/235.254.199.51:7980
CCTV2,http://14.108.209.204:8806/udp/235.254.199.52:7980
CCTV3,http://14.108.209.204:8806/udp/235.254.199.53:7980
CCTV4,http://14.108.209.204:8806/udp/235.254.199.183:7980
CCTV5,http://14.108.209.204:8806/udp/235.254.199.54:7980
CCTV5+,http://14.108.209.204:8806/udp/235.254.199.121:7980
CCTV6,http://14.108.209.204:8806/udp/235.254.199.55:7980
CCTV7,http://14.108.209.204:8806/udp/235.254.199.56:7980
CCTV8,http://14.108.209.204:8806/udp/235.254.199.57:7980
CCTV9,http://14.108.209.204:8806/udp/235.254.199.58:7980
CCTV10,http://14.108.209.204:8806/udp/235.254.199.59:7980
CCTV11,http://14.108.209.204:8806/udp/235.254.196.161:7980
CCTV12,http://14.108.209.204:8806/udp/235.254.199.60:7980
CCTV13,http://14.108.209.204:8806/udp/235.254.196.162:7980
CCTV14,http://14.108.209.204:8806/udp/235.254.199.61:7980
CCTV15,http://14.108.209.204:8806/udp/235.254.196.163:7980
CCTV17,http://14.108.209.204:8806/udp/235.254.199.130:7980
湖南卫视,http://14.108.209.204:8806/udp/235.254.199.62:7980
江苏卫视,http://14.108.209.204:8806/udp/235.254.199.64:7980
浙江卫视,http://14.108.209.204:8806/udp/235.254.199.63:7980
东方卫视,http://14.108.209.204:8806/udp/235.254.199.73:7980
北京卫视,http://14.108.209.204:8806/udp/235.254.199.66:7980
广东卫视,http://14.108.209.204:8806/udp/235.254.197.186:7980
深圳卫视,http://14.108.209.204:8806/udp/235.254.199.71:7980
天津卫视,http://14.108.209.204:8806/udp/235.254.199.67:7980
安徽卫视,http://14.108.209.204:8806/udp/235.254.199.65:7980
山东卫视,http://14.108.209.204:8806/udp/235.254.199.69:7980
四川卫视,http://14.108.209.204:8806/udp/235.254.199.175:7980
重庆卫视,http://14.108.209.204:8806/udp/235.254.197.237:7980
湖北卫视,http://14.108.209.204:8806/udp/235.254.199.72:7980
辽宁卫视,http://14.108.209.204:8806/udp/235.254.199.68:7980
江西卫视,http://14.108.209.204:8806/udp/235.254.199.190:7980
贵州卫视,http://14.108.209.204:8806/udp/235.254.199.185:7980
河北卫视,http://14.108.209.204:8806/udp/235.254.199.184:7980
黑龙江卫视,http://14.108.209.204:8806/udp/235.254.199.70:7980
海南卫视,http://14.108.209.204:8806/udp/235.254.199.176:7980
东南卫视,http://14.108.209.204:8806/udp/235.254.199.129:7980
